"ID","Attrition"
2,"No"
5,"No"
26,"No"
28,"No"
30,"Yes"
31,"Yes"
39,"No"
46,"No"
55,"Yes"
70,"Yes"
84,"No"
95,"Yes"
106,"No"
119,"No"
121,"No"
125,"No"
131,"No"
133,"No"
141,"No"
144,"Yes"
145,"No"
148,"No"
162,"No"
182,"No"
193,"Yes"
202,"No"
206,"No"
214,"Yes"
231,"No"
245,"No"
246,"Yes"
249,"No"
273,"No"
283,"No"
292,"No"
298,"No"
300,"No"
308,"Yes"
319,"No"
323,"No"
329,"No"
332,"No"
334,"No"
336,"No"
338,"No"
341,"No"
374,"No"
381,"No"
386,"No"
389,"No"
392,"No"
395,"No"
401,"Yes"
404,"No"
431,"No"
434,"Yes"
444,"No"
449,"Yes"
452,"No"
453,"Yes"
455,"Yes"
456,"No"
464,"No"
465,"No"
482,"No"
488,"No"
491,"No"
494,"Yes"
495,"Yes"
496,"Yes"
497,"No"
498,"No"
499,"No"
500,"No"
505,"No"
510,"Yes"
515,"No"
517,"No"
520,"No"
522,"No"
530,"Yes"
531,"No"
543,"No"
546,"No"
558,"No"
562,"No"
566,"Yes"
569,"No"
577,"Yes"
586,"No"
587,"No"
590,"Yes"
592,"No"
597,"No"
620,"No"
632,"No"
645,"No"
648,"Yes"
653,"No"
669,"Yes"
671,"No"
675,"Yes"
682,"No"
686,"Yes"
710,"No"
716,"No"
731,"No"
749,"Yes"
754,"No"
763,"Yes"
764,"Yes"
766,"No"
769,"No"
776,"No"
780,"No"
792,"Yes"
796,"Yes"
799,"Yes"
802,"No"
803,"Yes"
809,"No"
811,"Yes"
812,"Yes"
815,"No"
819,"Yes"
826,"No"
829,"No"
840,"No"
842,"No"
850,"No"
852,"Yes"
854,"Yes"
865,"No"
872,"Yes"
874,"No"
879,"Yes"
882,"No"
887,"No"
894,"No"
897,"No"
901,"No"
902,"No"
903,"No"
924,"No"
927,"Yes"
956,"Yes"
958,"No"
964,"Yes"
985,"No"
992,"No"
997,"No"
998,"Yes"
999,"No"
1014,"No"
1016,"Yes"
1017,"Yes"
1018,"No"
1035,"No"
1039,"No"
1047,"No"
1060,"No"
1061,"No"
1068,"No"
1070,"No"
1071,"No"
1079,"Yes"
1094,"Yes"
1106,"No"
1107,"No"
1108,"Yes"
1124,"No"
1133,"No"
1148,"Yes"
1161,"No"
1167,"No"
1198,"Yes"
1207,"No"
1225,"No"
1237,"Yes"
1241,"No"
1245,"No"
1252,"Yes"
1257,"No"
1263,"No"
1264,"No"
1282,"No"
1283,"No"
1288,"No"
1289,"No"
1291,"Yes"
1292,"Yes"
1298,"Yes"
1299,"No"
1301,"Yes"
1318,"Yes"
1322,"No"
1324,"No"
1333,"No"
1350,"Yes"
1352,"No"
1362,"No"
1374,"Yes"
1377,"No"
1380,"Yes"
1389,"No"
1395,"No"
1401,"No"
1424,"No"
1425,"Yes"
1427,"Yes"
1433,"Yes"
1440,"No"
1458,"Yes"
1459,"No"
1460,"Yes"
1464,"Yes"
1479,"Yes"
1487,"Yes"
1497,"No"
1514,"Yes"
1515,"Yes"
1516,"No"
1523,"No"
1541,"No"
1542,"No"
1544,"Yes"
1545,"Yes"
1546,"No"
1553,"No"
1558,"No"
1569,"Yes"
1578,"No"
1581,"No"
1583,"Yes"
1591,"No"
1594,"Yes"
1596,"No"
1598,"No"
1601,"No"
1609,"Yes"
1618,"No"
1621,"No"
1623,"Yes"
1627,"No"
1641,"Yes"
1662,"No"
1684,"Yes"
1689,"No"
1697,"No"
1703,"No"
1704,"Yes"
1719,"No"
1721,"No"
1722,"Yes"
1724,"Yes"
1727,"No"
1737,"No"
1739,"Yes"
1745,"Yes"
1746,"No"
1751,"No"
1754,"No"
1756,"No"
1764,"Yes"
1771,"No"
1775,"No"
1787,"No"
1799,"No"
1801,"Yes"
1812,"No"
1816,"Yes"
1826,"Yes"
1835,"Yes"
1862,"Yes"
1883,"Yes"
1885,"Yes"
1892,"No"
1908,"No"
1912,"No"
1922,"No"
1936,"No"
1938,"No"
1941,"No"
1960,"No"
1967,"Yes"
1969,"No"
1971,"No"
1976,"No"
1980,"Yes"
1995,"No"
2007,"Yes"
2010,"Yes"
2019,"No"
2032,"No"
2037,"No"
2044,"No"
2049,"No"
2057,"No"
2061,"No"
2065,"No"
